id,Postcodes,locality,state,lat,long,Lat_precise,Long_precise
13649,5011,WOODVILLE WEST,SA,-34.883282,138.527677,-34.8828,138.5258
13650,5012,ATHOL PARK,SA,-34.86303,138.541637,-34.858,138.543
13651,5012,MANSFIELD PARK,SA,-34.86303,138.541637,-34.852,138.547
13652,5012,WOODVILLE GARDENS,SA,-34.86303,138.541637,-34.864,138.552
13653,5012,WOODVILLE NORTH,SA,-34.86303,138.541637,-34.863,138.538
13654,5013,GILLMAN,SA,-34.841984,138.553453,-34.841,138.527
13655,5013,OTTOWAY,SA,-34.841984,138.553453,-34.846667,138.535556
13656,5013,PENNINGTON,SA,-34.841984,138.553453,-34.856,138.529
13657,5013,ROSEWATER,SA,-34.841984,138.553453,-34.8551221,138.5212237
13658,5013,ROSEWATER EAST,SA,-34.841984,138.553453,-34.8551221,138.5212237
13659,5013,WINGFIELD,SA,-34.841984,138.553453,-34.842,138.564
13660,5014,ALBERT PARK,SA,-34.86475,138.509247,-34.878,138.521
13661,5014,ALBERTON,SA,-34.86475,138.509247,-34.861,138.516
13662,5014,CHELTENHAM,SA,-34.86475,138.509247,-34.869,138.526
13663,5014,HENDON,SA,-34.86475,138.509247,-34.872,138.515
13664,5014,QUEENSTOWN,SA,-34.86475,138.509247,-34.8607571,138.5099711
13665,5014,ROYAL PARK,SA,-34.86475,138.509247,-34.872,138.508
13666,5015,BIRKENHEAD,SA,-34.808422,138.531567,-34.8360061,138.4999707
13667,5015,ETHELTON,SA,-34.808422,138.531567,-34.8478814,138.4899721
13668,5015,GARDEN ISLAND,SA,-34.840209,138.496803,0,0
13669,5015,GLANVILLE,SA,-34.808422,138.531567,-34.845,138.492
13670,5015,NEW PORT,SA,-34.84099502,138.499714,-34.8452,138.494
13671,5015,PORT ADELAIDE,SA,-34.808422,138.531567,-34.846,138.503
13672,5015,PORT ADELAIDE BC,SA,-34.808422,138.531567,-34.8536,138.504
13673,5015,PORT ADELAIDE DC,SA,-34.808422,138.531567,-34.8478,138.505
13674,5015,TORRENS ISLAND,SA,-34.840209,138.496803,0,0
13675,5016,LARGS BAY,SA,-34.824516,138.493796,-34.821,138.494
13676,5016,LARGS NORTH,SA,-34.824516,138.493796,-34.818333,138.493611
13677,5016,PETERHEAD,SA,-34.824516,138.493796,-34.832,138.497
13678,5017,OSBORNE,SA,-34.806494,138.498128,-34.798889,138.491111
13679,5017,TAPEROO,SA,-34.806494,138.498128,-34.806,138.495
13680,5018,NORTH HAVEN,SA,-34.779057,138.49958,-34.7864711,138.4937213
13681,5018,OUTER HARBOR,SA,-34.779057,138.49958,-34.781,138.501
13682,5019,EXETER,SA,-34.847707,138.477054,-34.8364363,138.4899721
13683,5019,SEMAPHORE,SA,-34.847707,138.477054,-34.838889,138.483889
13684,5019,SEMAPHORE PARK,SA,-34.847707,138.477054,-34.854,138.484
13685,5019,SEMAPHORE SOUTH,SA,-34.847707,138.477054,-34.848,138.481
13686,5020,WEST LAKES SHORE,SA,-34.867318,138.481639,-34.86349,138.4862231
13687,5021,WEST LAKES,SA,-34.86628,138.492908,-34.8722171,138.496221
13688,5022,GRANGE,SA,-34.905461,138.49264,-34.9,138.489
13689,5022,HENLEY BEACH,SA,-34.905461,138.49264,-34.92,138.494
13690,5022,HENLEY BEACH SOUTH,SA,-34.905461,138.49264,-34.927,138.501
13691,5022,KIRKCALDY,SA,-34.905461,138.49264,-34.9053497,138.4977497
13692,5022,TENNYSON,SA,-34.905461,138.49264,-34.883,138.483
13693,5023,FINDON,SA,-34.90073,138.51199,-34.9004716,138.5312279
13694,5023,SEATON,SA,-34.90073,138.51199,-34.899,138.514
13695,5023,SEATON NORTH,SA,-34.90073,138.51199,-34.8834234,138.5128972
13696,5024,FULHAM,SA,-34.948827,138.506052,-34.927,138.512
13697,5024,FULHAM GARDENS,SA,-34.948827,138.506052,-34.913,138.514
13698,5024,WEST BEACH,SA,-34.948827,138.506052,-34.945278,138.50375
13699,5025,FLINDERS PARK,SA,-34.912384,138.529573,-34.908,138.546
13700,5025,KIDMAN PARK,SA,-34.912384,138.529573,-34.914,138.528
13701,5031,MILE END,SA,-34.936926,138.570873,-34.925278,138.560833
13702,5031,MILE END SOUTH,SA,-34.936926,138.570873,-34.938,138.571
13703,5031,THEBARTON,SA,-34.936926,138.570873,-34.9141491,138.5725146
13704,5031,TORRENSVILLE,SA,-34.936926,138.570873,-34.9174945,138.5612516
13705,5031,TORRENSVILLE PLAZA,SA,-34.936926,138.570873,-34.9247532,138.5619943
13706,5032,BROOKLYN PARK,SA,-34.935734,138.544358,-34.9286646,138.5464066
13707,5032,LOCKLEYS,SA,-34.935734,138.544358,-34.923354,138.5312279
13708,5032,UNDERDALE,SA,-34.935734,138.544358,-34.916667,138.55
13709,5033,COWANDILLA,SA,-34.938858,138.558451,-34.931,138.557
13710,5033,HILTON,SA,-34.938858,138.558451,-34.931,138.57
13711,5033,HILTON PLAZA,SA,-34.938858,138.558451,-34.9316478,138.5618294
13712,5033,MARLESTON,SA,-34.938858,138.558451,-34.9443303,138.5625029
13713,5033,MARLESTON DC,SA,-34.938858,138.558451,-34.9485,138.562
13714,5033,RICHMOND,SA,-34.938858,138.558451,-34.94,138.56
13715,5033,WEST RICHMOND,SA,-34.938858,138.558451,-34.9391434,138.5499908
13716,5034,CLARENCE PARK,SA,-34.956227,138.58811,-34.963,138.586
13717,5034,GOODWOOD,SA,-34.956227,138.58811,-34.952,138.595
13718,5034,KINGS PARK,SA,-34.956227,138.58811,-34.964,138.593
13719,5034,MILLSWOOD,SA,-34.956227,138.58811,-34.956,138.59
13720,5034,WAYVILLE,SA,-34.956227,138.58811,-34.9453327,138.5925435
13721,5035,ASHFORD,SA,-34.952075,138.575187,-34.949,138.574
13722,5035,BLACK FOREST,SA,-34.952075,138.575187,-34.964,138.576
13723,5035,EVERARD PARK,SA,-34.952075,138.575187,-34.954,138.575
13724,5035,FORESTVILLE,SA,-34.952075,138.575187,-34.951,138.581
13725,5035,KESWICK,SA,-34.952075,138.575187,-34.9436884,138.5775211
13726,5035,KESWICK TERMINAL,SA,-34.952075,138.575187,-34.9355709,138.5800246
13727,5037,GLANDORE,SA,-34.957399,138.545826,-34.96,138.566
13728,5037,KURRALTA PARK,SA,-34.957399,138.545826,-34.95,138.566
13729,5037,NETLEY,SA,-34.957399,138.545826,-34.945278,138.550556
13730,5037,NORTH PLYMPTON,SA,-34.957399,138.545826,-34.9575,138.550278
13731,5038,CAMDEN PARK,SA,-34.968051,138.548367,-34.9686804,138.541234
13732,5038,PLYMPTON,SA,-34.968051,138.548367,-34.963683,138.5512419
13733,5038,PLYMPTON PARK,SA,-34.968051,138.548367,-34.976944,138.551389
13734,5038,SOUTH PLYMPTON,SA,-34.968051,138.548367,-34.977,138.556
13735,5039,CLARENCE GARDENS,SA,-34.976263,138.570739,-34.972,138.578
13736,5039,EDWARDSTOWN,SA,-34.976263,138.570739,-34.98,138.571
13737,5039,MELROSE PARK,SA,-34.976263,138.570739,-34.99,138.576
13738,5039,MELROSE PARK DC,SA,-34.976263,138.570739,-34.9902,138.576
13739,5040,NOVAR GARDENS,SA,-34.963083,138.527412,-34.9645281,138.5312279
13740,5041,COLONEL LIGHT GARDENS,SA,-35.00298,138.594176,-34.9823579,138.5962997
13741,5041,CUMBERLAND PARK,SA,-35.00298,138.594176,-34.973633,138.5862837
13742,5041,DAW PARK,SA,-35.00298,138.594176,-34.981,138.588
13743,5041,PANORAMA,SA,-35.00298,138.594176,-34.995,138.597
13744,5041,WESTBOURNE PARK,SA,-35.00298,138.594176,-34.969722,138.595833
13745,5042,BEDFORD PARK,SA,-35.007341,138.575023,-35.021,138.568
13746,5042,CLOVELLY PARK,SA,-35.007341,138.575023,-34.9999023,138.5717982
13747,5042,FLINDERS UNIVERSITY,SA,-35.007341,138.575023,-35.0100049,138.5709724
13748,5042,PASADENA,SA,-35.007341,138.575023,-35.002,138.59
13749,5042,ST MARYS,SA,-35.007341,138.575023,-35.006,138.577
13750,5042,TONSLEY,SA,-35.00971638,138.5709927,-35.0146,138.571
13751,5043,ASCOT PARK,SA,-35.005492,138.553853,-34.988318,138.559096
13752,5043,MARION,SA,-35.005492,138.553853,-35,138.552
13753,5043,MITCHELL PARK,SA,-35.005492,138.553853,-35.011,138.562
13754,5043,MORPHETTVILLE,SA,-35.005492,138.553853,-34.989,138.539
13755,5043,PARK HOLME,SA,-35.005492,138.553853,-34.994,138.557
13756,5044,GLENGOWRIE,SA,-35.001213,138.516314,-34.983333,138.533333
13757,5044,SOMERTON PARK,SA,-35.001213,138.516314,-34.99541,138.521461
13758,5045,GLENELG,SA,-34.977122,138.516973,-34.982,138.516
13759,5045,GLENELG EAST,SA,-34.977122,138.516973,-34.986,138.523
13760,5045,GLENELG JETTY ROAD,SA,-34.977122,138.516973,-34.980204,138.5168101
13761,5045,GLENELG NORTH,SA,-34.977122,138.516973,-34.971,138.517
13762,5045,GLENELG SOUTH,SA,-34.977122,138.516973,-34.9886456,138.514972
13763,5046,OAKLANDS PARK,SA,-35.003794,138.535434,-35.014,138.545
13764,5046,WARRADALE,SA,-35.003794,138.535434,-35.007,138.538
13765,5046,WARRADALE NORTH,SA,-35.003794,138.535434,-35.007,138.538
13766,5047,DARLINGTON,SA,-35.030702,138.546572,-35.03,138.557
13767,5047,SEACOMBE GARDENS,SA,-35.030702,138.546572,-35.026,138.545
13768,5047,SEACOMBE HEIGHTS,SA,-35.030702,138.546572,-35.034,138.549
13769,5047,STURT,SA,-35.030702,138.546572,-35.0235516,138.5549953
13770,5048,BRIGHTON,SA,-35.017416,138.520459,-35.019,138.52
13771,5048,DOVER GARDENS,SA,-35.017416,138.520459,-35.025,138.538
13772,5048,HOVE,SA,-35.017416,138.520459,-35.009,138.522
13773,5048,NORTH BRIGHTON,SA,-35.017416,138.520459,-35.004515,138.522148
13774,5048,SOUTH BRIGHTON,SA,-35.017416,138.520459,-35.024514,138.523564
13775,5049,KINGSTON PARK,SA,-35.045389,138.52272,-35.0376785,138.5174726
13776,5049,MARINO,SA,-35.045389,138.52272,-35.0497245,138.5162223
13777,5049,SEACLIFF,SA,-35.045389,138.52272,-35.033333,138.516667
13778,5049,SEACLIFF PARK,SA,-35.045389,138.52272,-35.031,138.532
13779,5049,SEAVIEW DOWNS,SA,-35.045389,138.52272,-35.034,138.536
13780,5050,BELLEVUE HEIGHTS,SA,-35.026307,138.601272,-35.033,138.587
13781,5050,EDEN HILLS,SA,-35.026307,138.601272,-35.027,138.601
13782,5051,BLACKWOOD,SA,-35.033769,138.620405,-35.022684,138.6163371
13783,5051,COROMANDEL VALLEY,SA,-35.033769,138.620405,-35.0476306,138.6213476
13784,5051,CRAIGBURN FARM,SA,-35.033769,138.620405,-35.04119,138.60515
13785,5051,HAWTHORNDENE,SA,-35.033769,138.620405,-35.02,138.631
13786,5052,BELAIR,SA,-35.003888,138.618684,-34.998118,138.62254
13787,5052,GLENALTA,SA,-35.003888,138.618684,-35.0131071,138.6263585
